planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,headcount,descIdx,nameMatched,multiSum,descShared,inferred,ambiguous,orphan,inheritedSub,comboMatched
"3203100100","一般行政","970,247","01","人員維持","","","","","分支計畫","920740","","","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","","","用途別一級","920740","","","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1010","政務人員待遇","用途別二級","5027","政務人員2人。","true","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1015","法定編制人員待遇","用途別二級","468560","法定編制人員504人、駐警1人。","true","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1020","約聘僱人員待遇","用途別二級","132810","聘用人員32人、約僱人員213人。","true","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1025","技工及工友待遇","用途別二級","6740","技工6人、駕駛3人、工友9人。","true","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1030","獎金","用途別二級","124583","","","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1035","其他給與","用途別二級","12464","","","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1040","加班費","用途別二級","50181","","","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1050","退休離職儲金","用途別二級","60500","","","","","","","","","","",""
"3203100100","一般行政","970,247","01","人員維持","1000","人事費","1055","保險","用途別二級","59875","","","","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","","","","","分支計畫","47217","","","","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","","","用途別一級","46749","1.業務費46,749千元。","","1","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2003","教育訓練費","用途別二級","90","(1)辦理現職人員教育研習相關訓練費用等90千元。","","2","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2006","水電費","用途別二級","7552","(2)本總處行政院區辦公室、廣博大樓及中部辦公園區等之水費356千元、電費(含備援電力基本電費)7,166千元及瓦斯費30千元，合計7,552千元。","","3","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2009","通訊費","用途別二級","4260","(3)通訊費編列4,260千元，內容如下：<1>一般公務所需電話及郵資等費用1,855千元。<2>會議室數據通訊費2,405千元。","","4","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2021","其他業務租金","用途別二級","530","(4)行政作業所需影印機租金530千元。","","5","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2024","稅捐及規費","用途別二級","140","(5)本總處公務車輛牌照稅85千元、燃料使用費50千元及檢驗費用5千元，合計140千元。","","6","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2027","保險費","用途別二級","440","(6)本總處公務車保險費63千元、資料登錄人員勞健保費等278千元及廣博大樓建築物火災保險費等99千元，合計440千元。","","7","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2033","約用人員酬金","用途別二級","1539","(7)資料登錄人員酬金1,539千元。","","8","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2036","按日按件計資酬金","用途別二級","100","(8)按日按件計資酬金100千元，內容如下：<1>本總處法規會、性別平等專案小組委員、採購評選委員及查核委員出席費60千元。<2>專題演講鐘點費等40千元。","","9","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2051","物品","用途別二級","2360","(9)物品編列2,360千元，內容如下：<1>購置文具、紙張、電腦耗材及清潔用品等1,304千元。<2>公務車9輛油料費410千元。<3>購置檔案架及辦公椅等非消耗品646千元。","","10","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2054","一般事務費","用途別二級","23571","(10)辦理員工各項活動依規定標準編列2,373千元。(11)員工協助方案、依法頒授印信職章、國會聯絡事宜、辦公室清潔維護、資料登錄、文書檔案處理、保全、駕駛、雜支等費用計21,198千元。","","11","","true","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2063","房屋建築養護費","用途別二級","1955","(12)房舍維護修繕費1,955千元。","","13","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2066","器具養護費","用途別二級","453","(13)車輛及辦公器具養護費依規定標準分別編列434千元及19千元，合計453千元。","","14","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2069","設施及機械設備養護費","用途別二級","2438","(14)本總處廣博大樓電梯、高低壓電力設備之維修保養費1,849千元及辦公廳機電設備、中央空調、冷卻水塔、員工飲水機濾心更換、定期保養費等589千元，合計2,438千元。","","15","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2072","國內旅費","用途別二級","175","(15)辦理秘書、人事、庶務、主計及政風等業務之出差旅費175千元。","","16","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2081","運費","用途別二級","148","(16)文書資料及物品運送費148千元。","","17","","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2084","短程車資","用途別二級","53","(17)洽公短程車資53千元。","","18","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","2000","業務費","2093","特別費","用途別二級","945","(18)依規定標準編列主計長及副主計長，全年特別費945千元。","","19","true","","","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","4000","獎補助費","","","用途別一級","468","2.退休退職人員78人三節慰問金，每人每年6千元，合計468千元。","","20","","","true","","","","",""
"3203100100","一般行政","970,247","02","基本行政工作維持","4000","獎補助費","4085","獎勵及慰問","用途別二級","468","2.退休退職人員78人三節慰問金，每人每年6千元，合計468千元。","","20","","","true","","","","",""
