planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,nameMatched,descShared,inferred,headcount,inheritedSub,ambiguous,orphan,multiSum,sumMatched
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","","","","","分支計畫","576703","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","","","用途別一級","167135","1.業務費167,135千元，係為辦理研發成果核心技術商品化暨產學合作推動與農業菁英培訓計畫，以及委託辦理強化農業計畫管理與資訊服務，農業科技研發量能盤點分析與跨域協作，強化農業科技產學研合作研發推動體系，農業科專計畫推動執行暨績效管理，科技農企業經營管理暨創新加值輔導等計畫(其中含媒體政策及業務宣導費650千元)。","2","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2003","教育訓練費","用途別二級","6818","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2009","通訊費","用途別二級","1200","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2015","權利使用費","用途別二級","200","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2036","按日按件計資酬金","用途別二級","16500","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2039","委辦費","用途別二級","128779","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2051","物品","用途別二級","7138","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2054","一般事務費","用途別二級","3000","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","2000","業務費","2072","國內旅費","用途別二級","3500","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","3000","設備及投資","","","用途別一級","3000","2.設備及投資3,000千元，係為強化農業科技研發環境，加強檢監測量能，建構永續安心研究所需之研發設備。","3","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","3000","設備及投資","3020","機械設備費","用途別二級","3000","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","4000","獎補助費","","","用途別一級","406568","3.獎補助費406,568千元，係補助研究機構、大專院校或相關法人等，辦理農業科技研發政策統籌推動，強化研發成果管理及產業加值運用，新一代農業菁英培育暨合作計畫(新進教師)，農業科技研發成果商品化之核心技術推動，農業學界及法人科專等計畫(其中含媒體政策及業務宣導費400千元)。","4","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","4000","獎補助費","4025","政府機關間之補助","用途別二級","25000","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","4000","獎補助費","4030","對特種基金之補助","用途別二級","235062","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","4000","獎補助費","4040","對國內團體之捐助","用途別二級","142711","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","01","農業科技管理及產業化","4000","獎補助費","4045","對私校之獎助","用途別二級","3795","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","02","畜牧業及動物保護科技研發","","","","","分支計畫","148301","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","02","畜牧業及動物保護科技研發","2000","業務費","","","用途別一級","4850","1.業務費4,850千元，係委託學術研究機構或相關法人等，辦理建置實驗動物人道管理系統等計畫。","2","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","02","畜牧業及動物保護科技研發","2000","業務費","2039","委辦費","用途別二級","4850","1.業務費4,850千元，係委託學術研究機構或相關法人等，辦理建置實驗動物人道管理系統等計畫。","2","","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","02","畜牧業及動物保護科技研發","4000","獎補助費","","","用途別一級","143451","2.獎補助費143,451千元，係補助研究機構、大專院校或相關法人等，辦理強化畜牧產業決策支援基盤之研究，建立精準臨床前轉譯試驗平台，優化實驗動物管理及監督查核機制等計畫。","3","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","02","畜牧業及動物保護科技研發","4000","獎補助費","4030","對特種基金之補助","用途別二級","56028","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","02","畜牧業及動物保護科技研發","4000","獎補助費","4040","對國內團體之捐助","用途別二級","79234","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","02","畜牧業及動物保護科技研發","4000","獎補助費","4045","對私校之獎助","用途別二級","8189","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","03","農產加工加值科技研發","","","","","分支計畫","78566","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","03","農產加工加值科技研發","4000","獎補助費","","","用途別一級","78566","1.獎補助費78,566千元，係補助研究機構、大專院校或相關法人等，辦理農食產品多元應用研發及產業鏈結，大健康農產加工加值等計畫。","2","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","03","農產加工加值科技研發","4000","獎補助費","4030","對特種基金之補助","用途別二級","42327","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","03","農產加工加值科技研發","4000","獎補助費","4040","對國內團體之捐助","用途別二級","36239","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","","","","","分支計畫","84483","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","2000","業務費","","","用途別一級","18986","1.業務費18,986千元。","2","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","2000","業務費","2003","教育訓練費","用途別二級","1300","(1)員工出國教育訓練費1,300千元。","3","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","2000","業務費","2039","委辦費","用途別二級","14260","(2)委託學術研究機構或相關法人等，辦理建立國際農業技術合作支援系統與潛力國家產業鏈結，透過強化APEC糧食系統韌性以減少糧食損失和浪費，推動APO淨零循環農業科技合作，生鮮農產品開拓歐洲市場策略研析，重要品項外銷CPTPP目標成員國市場調查等計畫14,260千元。","4","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","2000","業務費","2078","國外旅費","用途別二級","3426","(3)派員出席與各國共同召開之農業合作會議與技術合作，重要貿易夥伴國產地鑑別技術開發與應用策略考察等國外旅費3,426千元。","5","true","","","","","","","",""
