planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,sumMatched,nameMatched,ambiguous,orphan,multiSum,inferred,inheritedSub,headcount,comboMatched
"5157011100","公費生培育","321,386","01","辦理重點科別培育公費醫師制度","","","","","分支計畫","179522","","","","","","","","","","","",""
"5157011100","公費生培育","321,386","01","辦理重點科別培育公費醫師制度","2000","業務費","","","用途別一級","4000","辦理補（捐）助公私立醫學院管理費、教學用設備與醫學系公費生114學年度下學期581名及115學年度上學期573名公費生待遇、辦理公費生招募、分發管理及輔導相關計畫等，計列179,522千元（含資本門17,952千元）（委辦費4,000千元、對特種基金之補助15,932千元、對私校之獎助10,020千元、對學生之獎助149,570千元）。","0","true","","","","","","","","",""
"5157011100","公費生培育","321,386","01","辦理重點科別培育公費醫師制度","2000","業務費","2039","委辦費","用途別二級","4000","辦理補（捐）助公私立醫學院管理費、教學用設備與醫學系公費生114學年度下學期581名及115學年度上學期573名公費生待遇、辦理公費生招募、分發管理及輔導相關計畫等，計列179,522千元（含資本門17,952千元）（委辦費4,000千元、對特種基金之補助15,932千元、對私校之獎助10,020千元、對學生之獎助149,570千元）。","0","true","","","","","","","","",""
"5157011100","公費生培育","321,386","01","辦理重點科別培育公費醫師制度","4000","獎補助費","","","用途別一級","175522","辦理補（捐）助公私立醫學院管理費、教學用設備與醫學系公費生114學年度下學期581名及115學年度上學期573名公費生待遇、辦理公費生招募、分發管理及輔導相關計畫等，計列179,522千元（含資本門17,952千元）（委辦費4,000千元、對特種基金之補助15,932千元、對私校之獎助10,020千元、對學生之獎助149,570千元）。","0","true","true","","","","","","","",""
"5157011100","公費生培育","321,386","01","辦理重點科別培育公費醫師制度","4000","獎補助費","4030","對特種基金之補助","用途別二級","15932","辦理補（捐）助公私立醫學院管理費、教學用設備與醫學系公費生114學年度下學期581名及115學年度上學期573名公費生待遇、辦理公費生招募、分發管理及輔導相關計畫等，計列179,522千元（含資本門17,952千元）（委辦費4,000千元、對特種基金之補助15,932千元、對私校之獎助10,020千元、對學生之獎助149,570千元）。","0","true","","","","","","","","",""
"5157011100","公費生培育","321,386","01","辦理重點科別培育公費醫師制度","4000","獎補助費","4045","對私校之獎助","用途別二級","10020","辦理補（捐）助公私立醫學院管理費、教學用設備與醫學系公費生114學年度下學期581名及115學年度上學期573名公費生待遇、辦理公費生招募、分發管理及輔導相關計畫等，計列179,522千元（含資本門17,952千元）（委辦費4,000千元、對特種基金之補助15,932千元、對私校之獎助10,020千元、對學生之獎助149,570千元）。","0","true","","","","","","","","",""
"5157011100","公費生培育","321,386","01","辦理重點科別培育公費醫師制度","4000","獎補助費","4050","對學生之獎助","用途別二級","149570","辦理補（捐）助公私立醫學院管理費、教學用設備與醫學系公費生114學年度下學期581名及115學年度上學期573名公費生待遇、辦理公費生招募、分發管理及輔導相關計畫等，計列179,522千元（含資本門17,952千元）（委辦費4,000千元、對特種基金之補助15,932千元、對私校之獎助10,020千元、對學生之獎助149,570千元）。","0","true","","","","","","","","",""
"5157011100","公費生培育","321,386","02","原住民族及離島地區醫事人員養成計畫第五期","","","","","分支計畫","141864","","","","","","","","","","","",""
"5157011100","公費生培育","321,386","02","原住民族及離島地區醫事人員養成計畫第五期","2000","業務費","","","用途別一級","6386","「原住民族及離島地區醫事人員養成計畫第五期」奉行政院110年9月29日院臺衛字第1100029706號函核定，總經費728,097千元，招生期間為111至115年，111至114年度已編列586,233千元，本年度續編最後1年經費141,864千元，係補（捐）助公私立醫學院培育原住民族及離島地區114學年度下學期535名及115學年度上學期519名公費生待遇、教學用設備、辦理甄試事務、輔導訓練與追蹤管理、系統開發費等，計列141,864千元（含資本門12,031千元）（按日按件計資酬金30千元、委辦費5,640千元、一般事務費646千元、國內旅費70千元、資訊軟硬體設備費3,000千元、對特種基金之補助4,975千元、對私校之獎助4,056千元、對學生之獎助123,447千元）（預計投注於原住民族地區50,685千元）。","0","true","true","","","","","","","",""
"5157011100","公費生培育","321,386","02","原住民族及離島地區醫事人員養成計畫第五期","2000","業務費","2036","按日按件計資酬金","用途別二級","30","「原住民族及離島地區醫事人員養成計畫第五期」奉行政院110年9月29日院臺衛字第1100029706號函核定，總經費728,097千元，招生期間為111至115年，111至114年度已編列586,233千元，本年度續編最後1年經費141,864千元，係補（捐）助公私立醫學院培育原住民族及離島地區114學年度下學期535名及115學年度上學期519名公費生待遇、教學用設備、辦理甄試事務、輔導訓練與追蹤管理、系統開發費等，計列141,864千元（含資本門12,031千元）（按日按件計資酬金30千元、委辦費5,640千元、一般事務費646千元、國內旅費70千元、資訊軟硬體設備費3,000千元、對特種基金之補助4,975千元、對私校之獎助4,056千元、對學生之獎助123,447千元）（預計投注於原住民族地區50,685千元）。","0","true","","","","","","","","",""
