planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,nameMatched,inheritedSub
"5229011800","交通科技研究發展","17,400","01","交通科技規劃與管理計畫","","","","","分支計畫","8900","","","","",""
"5229011800","交通科技研究發展","17,400","01","交通科技規劃與管理計畫","2000","業務費","","","用途別一級","8900","","","","",""
"5229011800","交通科技研究發展","17,400","01","交通科技規劃與管理計畫","2000","業務費","2036","按日按件計資酬金","用途別二級","400","2.本年度編列業務費8,900千元：(1)按日按件計資酬金400千元：外聘專家學者之出席費及審查費等。","2","true","",""
"5229011800","交通科技研究發展","17,400","01","交通科技規劃與管理計畫","2000","業務費","2039","委辦費","用途別二級","8500","(2)委辦費8,500千元：因應AI業務發展，蒐集國際交通領域AI應用案例，作為規劃未來AI應用參考，彙整國際AI法制發展動態，進行交通科技管理及AI法制相關研究、研討會及顧問諮詢等。","3","","true",""
"5229011800","交通科技研究發展","17,400","02","交通領域工業控制系統資安整備計畫","","","","","分支計畫","8500","","","","",""
"5229011800","交通科技研究發展","17,400","02","交通領域工業控制系統資安整備計畫","2000","業務費","","","用途別一級","7250","2.本年度編列預算8,500千元，辦理工作項目如下：(1)業務費-資訊服務費7,250千元：擴充交通領域資安情資、進行T-ISAC、T-CERT、T-SOC系統操作管理及實施稽核與演練、辦理職能課程及評量等資通安全經費7,250千元。","2","true","",""
"5229011800","交通科技研究發展","17,400","02","交通領域工業控制系統資安整備計畫","2000","業務費","2018","資訊服務費","用途別二級","7250","2.本年度編列預算8,500千元，辦理工作項目如下：(1)業務費-資訊服務費7,250千元：擴充交通領域資安情資、進行T-ISAC、T-CERT、T-SOC系統操作管理及實施稽核與演練、辦理職能課程及評量等資通安全經費7,250千元。","2","true","",""
"5229011800","交通科技研究發展","17,400","02","交通領域工業控制系統資安整備計畫","3000","設備及投資","","","用途別一級","1250","(2)設備及投資-資訊軟硬體設備費1,250千元：辦理T-ISAC、T-CERT、T-SOC功能擴充等資通安全經費1,250千元。","3","true","",""
"5229011800","交通科技研究發展","17,400","02","交通領域工業控制系統資安整備計畫","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","1250","(2)設備及投資-資訊軟硬體設備費1,250千元：辦理T-ISAC、T-CERT、T-SOC功能擴充等資通安全經費1,250千元。","3","true","",""
"5829010100","一般行政","930,059","01","人員維持","","","","","分支計畫","680168","","","","",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","","","用途別一級","680168","職員449人、駐警2人、聘用人員27人、約僱人員14人、技工3人、駕駛4人及工友1人，合計500人之有關人事費，計編列680,168千元。","0","true","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1010","政務人員待遇","用途別二級","7409","1.政務人員待遇7,409千元：政務人員3人年需經費。","2","","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1015","法定編制人員待遇","用途別二級","401130","2.法定編制人員待遇401,130千元：編制內職員、派用人員及駐警年需經費。","3","","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1020","約聘僱人員待遇","用途別二級","29532","3.約聘僱人員待遇29,532千元：約聘僱人員年需經費。","4","","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1025","技工及工友待遇","用途別二級","3728","4.技工及工友待遇3,728千元：技工、工友及駕駛年需經費。","5","","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1030","獎金","用途別二級","102255","5.獎金102,255千元：(1)考績獎金45,378千元。(2)特殊功勳獎賞2,054千元。(3)年終工作獎金54,823千元：<1>職員、駐警、約聘僱人員、駕駛、技工及工友等現職人員之年終工作獎金54,623千元。<2>支領月退休金人員年終慰問金200千元。","6","","true","true"
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1035","其他給與","用途別二級","8580","6.其他給與8,580千元：休假補助。","9","","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1040","加班費","用途別二級","36980","7.加班費36,980千元：超時加班費及未休假加班費。","10","","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1045","退休退職給付","用途別二級","2448","8.退休退職給付2,448千元。","11","","true",""
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1050","退休離職儲金","用途別二級","45796","9.退休離職儲金45,796千元：(1)公(政)務人員提撥金42,995千元。(2)約聘僱人員提撥金2,331千元。(3)技工及工友提撥金470千元。","12","","true","true"
"5829010100","一般行政","930,059","01","人員維持","1000","人事費","1055","保險","用途別二級","42310","10.保險42,310千元：本部人員應由政府負擔之保險補助給付。(1)健保保險補助27,782千元。(2)公保保險補助11,353千元。(3)勞保保險補助3,175千元。","15","","true","true"
"5829010100","一般行政","930,059","02","基本行政工作維持","","","","","分支計畫","156435","","","","",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","","","用途別一級","106757","1.業務費106,757千元：(1)教育訓練費3,161千元：派赴國外研修、薦送在職進修補助、派員參加各項訓練及研習等。","1","true","",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2003","教育訓練費","用途別二級","3161","1.業務費106,757千元：(1)教育訓練費3,161千元：派赴國外研修、薦送在職進修補助、派員參加各項訓練及研習等。","1","true","",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2006","水電費","用途別二級","17628","(2)水電費17,628千元：辦公大樓水、電費及天然氣等。","2","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2009","通訊費","用途別二級","4620","(3)通訊費4,620千元：郵寄、一般通訊及數據通訊費等。","3","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2021","其他業務租金","用途別二級","2918","(4)其他業務租金2,918千元：處理經常公務所需使用影印機等設備租賃費等。","4","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2024","稅捐及規費","用途別二級","2457","(5)稅捐及規費2,457千元：牌照稅、燃料費、地價稅及房屋稅等。","5","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2027","保險費","用途別二級","354","(6)保險費354千元：公務車輛、大樓、辦公設備及裝修設備保險等。","6","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2030","兼職費","用途別二級","368","(7)兼職費368千元：訴願外聘委員兼職費等。","7","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2033","約用人員酬金","用途別二級","878","(8)約用人員酬金878千元：約聘僱1人所需待遇、勞保及獎金等。","8","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2036","按日按件計資酬金","用途別二級","1502","(9)按日按件計資酬金1,502千元：公共工程施工查核、性別平等、法規等案件外聘委員出席費、書面審查費等。","9","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2045","國內組織會費","用途別二級","40","(10)國內組織會費40千元：參加國內各學術團體等年費。","10","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2051","物品","用途別二級","3020","(11)物品3,020千元：消耗品、非消耗品及油料等。","11","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2054","一般事務費","用途別二級","49562","(12)一般事務費49,562千元：<1>辦理檔案分類整理、掃描暨文書處理、公務車駕駛人力、本部經管國有土地房舍及勞保補償金收回委請律師訴訟等經費17,863千元。<2>辦公大樓機電中央監控設備管理、環境清潔及本部暨五城大樓保全等經費22,415千元。<3>員工健康檢查及文康活動費等2,655千元(含員工協助方案經費498千元)。<4>交通動員、災害防救、公共安全、消防檢查申報、國會聯絡、一般行政管理工作之開會、印刷及交通施政宣導等經費6,629千元(含媒體政策及業務宣導費106千元)。","12","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2063","房屋建築養護費","用途別二級","2968","(13)房屋建築養護費2,968千元：辦公房屋及經管宿舍養護等。","13","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2066","器具養護費","用途別二級","847","(14)車輛及辦公器具養護費847千元：公務車及辦公器具養護等。","14","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2069","設施及機械設備養護費","用途別二級","10910","(15)設施及機械設備養護費10,910千元：<1>辦公大樓機電、不斷電系統、中央監控、本部暨五城大樓電梯、監視系統、高低壓供電等養護費3,437千元。<2>火警設施、火警圖形顯示控制設施偵煙器件及老舊線路更換、地下室機電熱源排散及通風裝置效能維護等養護費7,473千元。","15","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2072","國內旅費","用途別二級","3925","(16)國內旅費3,925千元：交通動員、災害防救、重大工程督導、施工品質查核等所需旅費。","16","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2084","短程車資","用途別二級","420","(17)短程車資420千元。","17","","true",""
